timestamp,x,y,z
470269382702,-0.0102539,-2.11816,-0.00537109
470269405199,0.222656,-1.81982,0.234863
470269420146,0.131836,-1.1665,0.368164
470269442776,-0.213379,-0.837402,0.32959
470269465104,-0.181641,-1.06445,0.300293
470269480137,-0.199707,-1.26562,0.256836
470269503976,-0.434082,-1.30225,0.217773
470269525184,-0.40918,-1.12256,0.419434
470269543159,-0.0322266,-1.09424,0.422852
470269571514,0.468262,-0.816895,0.490723
470269585229,0.642578,-0.235352,1.0376
470269603116,-0.0761719,0.61084,0.837891
470269623990,-0.282227,0.209961,0.414062
470269645117,-0.0351562,-0.566895,0.411133
470269663085,-0.03125,-0.894043,0.491699
470269684167,-0.0541992,-0.890137,0.390625
470269705240,-0.0927734,-0.920898,0.256348
470269724816,-0.219238,-0.782227,0.0517578
470269743984,-0.422852,-0.849609,-0.0493164
470269765226,-0.603516,-1.11328,-0.0327148
470269782904,-0.14209,-0.972168,0.34375
470269810186,0.536621,-1.35254,0.365234
470269826484,-0.0834961,-1.63428,0.421387
470269843546,-1.18896,-1.07715,0.459473
470269873075,-1.06982,-0.689453,0.255859
470269885146,-0.231445,-0.48584,0.468262
470269903055,0.205078,-0.53418,0.634766
470269933093,0.567871,-1.08838,0.929688
470269945827,0.329102,-1.81299,0.996582
470269962109,0.0546875,-0.600098,0.914062
470269984711,-0.267578,0.608398,0.564453
470270005775,-0.161133,0.0576172,0.342285
470270022095,0.0488281,-0.770508,0.437012
470270044773,0.128906,-0.994629,0.430176
470270065897,0.0649414,-1.25879,0.340332
470270082295,-0.248047,-0.978516,0.200195
470270104612,-0.555176,-0.871582,0.0126953
470270125857,-0.50293,-0.985352,-0.0268555
470270142184,-0.130859,-1.16162,0.303711
470270164703,0.147949,-1.40479,0.272949
470270185689,-0.414551,-1.30127,0.374023
470270202060,-0.975586,-0.95459,0.5625
470270224632,-0.466797,-1.04395,0.63916
470270246187,0.0449219,-1.12939,0.385254
470270262162,0.165527,-1.18066,0.822754
470270284614,0.25293,-1.0708,0.826172
470270305846,0.090332,0.413086,0.657715
470270322143,-0.334961,0.236816,0.42041
470270344665,-0.0375977,-0.611328,0.335938
470270365799,0.122559,-0.969238,0.248047
470270382094,-0.145508,-1.33447,0.209961
470270404611,-0.444824,-1.17285,0.105469
470270425791,-0.587402,-1.12012,-0.012207
470270442067,-0.520508,-1.28418,-0.115723
470270464673,-0.155762,-1.48828,-0.0136719
470270485810,-0.262695,-1.19922,0.226074
470270501468,-0.638184,-0.972656,0.34668
470270525333,-0.69873,-0.645508,0.407227
470270553283,-0.299316,-0.418457,0.498047
470270561456,0.255859,-0.254883,0.570312
470270584726,0.478027,-0.105469,0.592285
470270605732,0.312988,-0.349121,0.575684
470270621466,0.234375,-0.919434,0.533203
470270644543,0.344727,-1.37061,0.542969
470270665740,0.656738,-1.2959,0.553223
470270688346,0.591797,-0.824707,0.60498
470270704564,0.47998,-0.508789,0.617676
470270727209,0.614746,-0.434082,0.652832
470270748295,0.708008,-0.417969,0.686035
470270772260,0.687988,-0.469238,0.641602
470270787129,0.692871,-0.428711,0.622559
470270809591,0.700195,-0.479492,0.607422
470270824985,0.725586,-0.347168,0.561035
470270847126,0.728516,-0.242188,0.523926
470270868125,0.697266,-0.221191,0.528809
470270884668,0.750977,-0.304199,0.627441
470270907092,0.746094,-0.301758,0.729004
470270928213,0.694824,-0.298828,0.665527
470270944625,0.724121,-0.441895,0.655273
470270967117,0.802246,-0.36377,0.709473
470270988226,0.782227,-0.17334,0.629883
470271004561,0.924805,-0.0268555,0.522461
470271027137,0.969238,-0.247559,0.898926
470271049651,0.678711,-0.468262,0.84082
470271064479,0.670898,-0.522949,0.650391
470271087187,0.677246,-0.654297,0.539062
470271108227,0.669922,-0.58252,0.552246
470271124703,0.605469,-0.391113,0.585449
470271147079,0.578613,-0.333008,0.573242
470271169625,0.568848,-0.449707,0.575195
470271184534,0.566895,-0.562012,0.576172
470271207174,0.592285,-0.536621,0.537109
470271228257,0.596191,-0.487305,0.5
470271244521,0.63623,-0.475098,0.522949
470271267269,0.656738,-0.47168,0.573242
470271288264,0.614746,-0.546875,0.564453
470271304972,0.559082,-0.552246,0.512207
470271327560,0.561523,-0.623535,0.515137
470271348172,0.588867,-0.649902,0.581543
470271364382,0.516113,-0.632812,0.672363
470271387571,0.431152,-0.666504,0.657227
470271408228,0.45459,-0.700684,0.607422
470271423914,0.470703,-0.72998,0.621582
470271447032,0.402832,-0.778809,0.654297
470271469604,0.319336,-0.828613,0.633301
470271483923,0.353516,-0.909668,0.546875
470271514617,0.385742,-0.96875,0.474609
470271532548,0.474121,-0.898438,0.460938
470271545164,0.55127,-0.814453,0.524902
470271565647,0.508301,-0.585449,0.577637
470271580799,0.0244141,-0.613281,0.169922
470271603211,-0.0166016,-0.770508,0.461426
470271625692,0.98291,-0.491699,0.882812
470271640715,0.37793,-0.860352,-0.00244141
470271664626,-0.0849609,-1.13184,-0.291992
470271685616,-0.257812,-1.19092,-0.105469
470271700720,0.00292969,-1.07129,0.590332
470271723171,-0.186523,-0.862793,0.471191
470271747027,0.298828,-0.60498,0.516113
470271760757,0.464844,-0.586426,0.539062
470271783153,0.463379,-0.662598,0.54248
470271813743,0.552734,-0.693359,0.550293
470271820667,0.552246,-0.62207,0.577148
470271843143,0.495605,-0.525391,0.678223
470271859395,1.02539,-0.4375,1.02539
470271880572,0.765625,-0.637207,1.13965
470271903104,0.0390625,-0.849609,0.515625
470271920300,0.379883,-0.772949,0.51709
470271942526,0.300293,-0.794922,0.454102
470271963080,0.216797,-0.975098,0.428711
470271978849,0.358398,-1.27002,0.352539
470272002150,0.462891,-1.41504,0.602539
470272023203,0.421387,-1.22363,0.556641
470272038917,0.387207,-0.840332,0.445312
470272069550,0.435547,-0.385254,0.51709
470272090741,0.48877,-0.164062,0.533691
470272099027,0.561035,-0.0512695,0.627441
470272122075,0.492188,-0.224121,0.605469
470272143066,0.429199,-0.561523,0.408203
470272159048,0.414062,-0.852539,0.445801
470272182127,0.286133,-0.970215,0.472656
470272203176,0.15625,-0.98584,0.397949
470272218937,0.121582,-1.0249,0.362793
470272242012,0.189453,-1.12256,0.314941
470272263154,0.422363,-1.22607,0.369141
470272278890,0.348145,-1.18457,0.540527
470272302070,0.181641,-0.972168,0.624023
470272324547,0.165527,-0.745117,0.628418
470272347155,0.177246,-0.582031,0.55957
470272362053,0.230957,-0.521973,0.619141
470272383185,0.320312,-0.51123,0.643555
470272398955,0.449707,-0.48291,0.705566
470272436979,0.5,-0.37793,0.789551
470272450658,0.421387,-0.302246,0.700684
470272474619,0.465332,-0.354492,0.633301
470272495717,0.530762,-0.45166,0.63623
470272510695,0.529785,-0.527832,0.63916
470272534641,0.484375,-0.578125,0.598633
470272555664,0.45166,-0.601074,0.583984
470272578173,0.432617,-0.622559,0.586426
470272586475,0.381836,-0.661133,0.520508
470272609644,0.331543,-0.667969,0.427734
470272632205,0.342773,-0.797363,0.304688
470272653201,0.407227,-0.918457,0.356445
470272669546,0.34082,-1.13721,0.418945
470272692489,0.250977,-1.32617,0.495605
470272714660,0.221191,-1.37451,0.598633
470272729518,0.272949,-1.13721,0.598633
470272752060,0.279785,-0.996094,0.525391
470272774552,0.29248,-0.853027,0.502441
470272789512,0.37207,-0.671875,0.385254
470272812021,0.446777,-0.654297,0.429199
470272834646,0.570312,-0.564453,0.587891
470272857128,0.700684,-0.380371,0.639648
470272872117,0.647949,-0.302734,0.618164
470272893180,0.640137,-0.23877,0.61084
470272909560,0.609863,-0.393555,0.66748
470272932091,0.577637,-0.580566,0.699707
470272953196,0.597656,-0.634766,0.695801
470272969573,0.611816,-0.569824,0.640625
470272991996,0.63623,-0.475586,0.598633
470273013017,0.649902,-0.411133,0.575195
470273029905,0.647949,-0.412109,0.567383
470273051961,0.668457,-0.386719,0.556152
470273073158,0.678711,-0.351074,0.546875
470273089467,0.683105,-0.32666,0.533203
470273112525,0.709961,-0.349609,0.54834
470273133032,0.70459,-0.379395,0.543945
470273148938,0.758789,-0.365723,0.61377
470273171912,0.911133,-0.451172,0.785156
470273193099,0.76416,-0.21875,0.0878906
470273209483,0.516602,-0.158691,-0.0839844
470273232065,0.896973,-0.0444336,0.0986328
470273253103,1.41992,0.00146484,0.540527
470273268779,1.52002,0.0678711,0.969238
470273292007,0.592285,-0.449707,0.924805
470273313118,-0.157227,-0.686035,0.355957
470273328888,0.822754,-0.351074,0.034668
470273352053,1.54053,-0.294922,0.901855
470273372991,0.0463867,-0.623535,0.797852
470273388912,0.660156,-0.395508,0.185547
470273411968,1.23291,-0.51123,1.0874
470273435889,-0.267578,-0.804688,0.546875
470273448930,0.341309,-0.605957,0.354492
470273479436,0.467285,-0.516113,0.668945
470273492956,0.516113,-0.575684,0.725098
470273508777,0.473145,-0.541992,0.673828
470273532020,0.46582,-0.564941,0.659668
470273553118,0.472656,-0.590332,0.655273
470273568783,0.481445,-0.63916,0.672852
470273591890,0.490723,-0.641113,0.696777
470273614410,0.469238,-0.620605,0.69873
470273628936,0.456055,-0.631348,0.716797
470273652084,0.458008,-0.635742,0.710449
470273674441,0.481445,-0.567383,0.668945
470273695609,0.462402,-0.480957,0.496094
470273712054,0.395508,-0.592773,0.415039
470273734516,0.437988,-0.717285,0.335938
470273756907,0.448242,-0.859375,0.311035
470273779654,0.305176,-0.987793,0.376953
470273800644,0.135254,-0.958984,0.367188
470273815622,0.0888672,-0.903809,0.385742
470273832071,0.0483398,-0.927246,0.357422
470273860577,-0.0849609,-0.994629,0.381348
470273876170,-0.298828,-1.24707,0.241211
470273892089,-0.175293,-1.40576,0.208496
470273922063,-0.151855,-1.68457,0.239746
470273935672,-0.163086,-1.42188,0.155273
470273951997,0.0703125,-1.11377,0.11377
470273974604,0.126465,-0.762695,0.0834961
470273995563,-0.0522461,-0.840332,0.0644531
470274011904,-0.0878906,-1.04541,0.181152
470274034521,-0.101562,-1.06836,0.148438
470274057039,-0.0991211,-1.12256,0.252441
470274072038,0.167969,-0.981934,0.422852
470274094485,0.394043,-1.02686,0.470215
470274115594,0.0717773,-0.849121,0.57666
470274122452,-0.333496,-0.696289,0.744629
470274138876,-0.501465,-0.715332,0.739746
470274162927,-0.827148,-0.713379,0.539062
470274182346,-0.98584,-0.952637,0.34375
470274197463,-0.664551,-1.3335,0.237793
470274220006,-0.1875,-1.48926,0.162598
470274245236,0.200684,-1.1499,0.200684
470274257401,0.171387,-0.685547,0.295898
470274279795,0.0571289,-0.425781,0.408203
470274302419,0.0126953,-0.329102,0.560059
470274317391,-0.0620117,-0.311523,0.512695
470274339832,-0.0239258,-0.427246,0.352051
470274362493,-0.0566406,-0.547363,0.196777
470274380270,-0.289062,-0.740234,0.13623
470274399877,-0.517578,-0.973633,0.0966797
470274422488,-0.562988,-1.0083,0.200684
470274438875,-0.548828,-1.00098,0.291016
470274459780,-0.362793,-0.92334,0.560059
470274482457,-0.0146484,-0.842285,0.574219
470274500313,0.141602,-0.740234,0.520508
470274519906,-0.269043,-0.817871,0.422852
470274545388,-0.592285,-1.00732,0.523438
470274557437,-0.486816,-1.28467,0.313965
470274579901,-0.394043,-1.28857,-0.0751953
470274602296,-0.381348,-1.21973,-0.29248
470274617437,-0.289062,-1.27832,-0.282715
470274639939,-0.293457,-1.24902,-0.126465
470274662351,-0.366699,-1.21094,0.0532227
470274677447,-0.396973,-1.17285,0.171875
470274699950,-0.338379,-1.1001,0.267578
470274722351,-0.242676,-1.08887,0.354492
470274737416,-0.236328,-1.04688,0.44873
470274759812,-0.529785,-1.03125,0.487305
470274782437,-0.825684,-1.02051,0.356934
470274797449,-0.902832,-1.06006,0.151367
470274819717,-0.721191,-1.16064,0.0224609
470274845207,-0.568848,-1.15137,0.0253906
470274864798,-0.404785,-0.898438,0.0849609
470274887456,-0.316406,-0.639648,0.316406
470274911279,-0.277344,-0.550293,0.459473
470274917408,-0.0683594,-0.401855,0.583984
470274939921,0.36084,-0.148438,0.686035
470274962320,0.496094,0.119629,0.725586
470274978910,0.0683594,0.0541992,0.577148
470274999988,-0.262207,-0.197266,0.4375
